name,url,promoted_content,query,tweet_volume
#WithYou,http://twitter.com/search?q=%23WithYou,,%23WithYou,1531136.0
Macron,http://twitter.com/search?q=Macron,,Macron,1301415.0
Everton,http://twitter.com/search?q=Everton,,Everton,208744.0
Le Pen,http://twitter.com/search?q=%22Le+Pen%22,,%22Le+Pen%22,158732.0
Peña,http://twitter.com/search?q=Pe%C3%B1a,,Pe%C3%B1a,149391.0
Tory,http://twitter.com/search?q=Tory,,Tory,101689.0
Ben Simmons,http://twitter.com/search?q=%22Ben+Simmons%22,,%22Ben+Simmons%22,82438.0
Ranboo,http://twitter.com/search?q=Ranboo,,Ranboo,80957.0
Steph,http://twitter.com/search?q=Steph,,Steph,71291.0
Xavi,http://twitter.com/search?q=Xavi,,Xavi,64910.0
Game 5,http://twitter.com/search?q=%22Game+5%22,,%22Game+5%22,55810.0
